number,value,params_alpha,params_beta,params_delta,params_gamma,state,user_attrs_avg_completed_makespan,user_attrs_failed_tasks,user_attrs_num_completed,user_attrs_num_failed,duration
0,10000000000,0.154729669408911,104.605711662219,8.97987726295555,6.5251195192041,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.746915
1,10000000000,0.0312989263500918,0.312934058424622,12.992642186624,0.0167238854157201,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.481601
2,10000000000,0.811327383832515,17.7379376959044,14.5486477824299,0.0119991200567412,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.281073
3,10000000000,4.40467424647579,0.472507159489194,2.75106764780151,0.0500189792852939,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.041932
4,10000000000,0.0925339557937687,4.64167058391172,4.36843710297063,0.458005764994288,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.299284
5,10000000000,0.877608115746158,0.277360895931319,5.49542764940538,0.132838760769039,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.094334
6,10000000000,0.280879401066128,31.1738547685191,7.71351657620417,0.0585821448625128,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.911001
7,10000000000,0.761312102705421,0.140452912644447,2.55786185530937,2.16805112572062,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.327397
8,10000000000,0.016091991550723,103.216008595032,12.1259602217469,51.6356725154672,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.786305
9,10000000000,0.0927857173333371,0.20427515445627,6.60228740609402,4.27506841412183,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.135607
10,10000000000,0.0244120679968681,3.73875542226092,13.6398060311817,0.0135589867126342,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.389151
11,10000000000,0.0663603759224949,12.7125079131581,7.80102031766716,0.15796455476088,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.631227
12,10000000000,0.545006572225097,0.386468961722913,11.6269923504167,53.4746501376988,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.008521
13,10000000000,9.63683395823086,69.5109663324458,13.8281135253468,1.99060016921317,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.848416
14,10000000000,0.0191011828624226,0.41923685682282,4.87995496144897,0.014924622670121,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.483694
15,10000000000,0.171583112799198,0.727493785815034,5.35129990040384,15.3665711842395,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.856372
