number,value,params_alpha,params_beta,params_delta,params_gamma,state,user_attrs_avg_completed_makespan,user_attrs_num_completed,user_attrs_num_failed
0,10000000000.0,0.15472966940891117,104.60571166221945,8.979877262955549,6.5251195192041,COMPLETE,inf,0.0,32.0
1,10000000000.0,0.03129892635009182,0.31293405842462185,12.992642186624028,0.01672388541572008,COMPLETE,inf,0.0,32.0
2,10000000000.0,0.811327383832515,17.737937695904435,14.548647782429915,0.011999120056741199,COMPLETE,inf,0.0,32.0
3,10000000000.0,4.404674246475786,0.47250715948919414,2.7510676478015075,0.0500189792852939,COMPLETE,inf,0.0,32.0
4,10000000000.0,0.09253395579376868,4.641670583911721,4.368437102970629,0.45800576499428813,COMPLETE,inf,0.0,32.0
5,10000000000.0,0.8776081157461582,0.27736089593131924,5.495427649405375,0.13283876076903947,COMPLETE,inf,0.0,32.0
6,10000000000.0,0.2808794010661279,31.173854768519078,7.713516576204174,0.05858214486251279,COMPLETE,inf,0.0,32.0
7,10000000000.0,0.7613121027054212,0.14045291264444734,2.557861855309373,2.1680511257206234,COMPLETE,inf,0.0,32.0
8,10000000000.0,0.016091991550723033,103.21600859503191,12.125960221746917,51.635672515467185,COMPLETE,inf,0.0,32.0
9,10000000000.0,0.09278571733333708,0.2042751544562702,6.602287406094019,4.275068414121834,COMPLETE,inf,0.0,32.0
10,10000000000.0,0.02441206799686811,3.7387554222609243,13.639806031181731,0.013558986712634214,COMPLETE,inf,0.0,32.0
11,10000000000.0,0.06636037592249487,12.712507913158118,7.801020317667162,0.15796455476088048,COMPLETE,inf,0.0,32.0
12,10000000000.0,0.5450065722250973,0.3864689617229135,11.626992350416717,53.47465013769884,COMPLETE,inf,0.0,32.0
13,10000000000.0,9.636833958230865,69.51096633244576,13.828113525346753,1.9906001692131736,COMPLETE,inf,0.0,32.0
14,10000000000.0,0.01910118286242263,0.4192368568228196,4.8799549614489655,0.014924622670120964,COMPLETE,inf,0.0,32.0
15,10000000000.0,0.17158311279919766,0.7274937858150339,5.3512999004038395,15.366571184239522,COMPLETE,inf,0.0,32.0
16,10000000000.0,0.07803216212798209,5.292395433543498,12.032954711310595,0.03482310250570997,COMPLETE,inf,0.0,32.0
17,10000000000.0,0.017249624587958475,136.28340414154806,2.9807352230125863,9.318732577546822,COMPLETE,inf,0.0,32.0
18,10000000000.0,0.01041211000742136,38.90271530866445,10.93510752061481,5.223189558309491,COMPLETE,inf,0.0,32.0
19,,2.815950436183445,0.17185911504697735,1.7380358928769457,0.238965865831448,FAIL,,,
