trial_number,value,state,datetime_start,datetime_complete,duration,param_alpha,param_beta,param_gamma,user_attr_num_completed,user_attr_num_failed,user_attr_avg_completed_makespan,user_attr_avg_computation_time,user_attr_failed_tasks_json
9,45.715999999999994,COMPLETE,2025-05-21T20:30:35.338568,2025-05-21T20:42:24.899989,709.561421,1.5250554528143003,4.194748019124383,0.30842059769239843,5,0,51.245000000000005,9.364203570201061,"[{""name"": ""simple1_4subtasks(dc1, nd1)"", ""status"": ""Failed (Planning/State Error)""}]"
5,47.096000000000004,COMPLETE,2025-05-21T20:30:34.879454,2025-05-21T20:42:58.971065,744.091611,1.6755262120635432,0.4493635939746541,4.782984871131651,5,0,51.295,11.598076473420951,"[{""name"": ""simple20_9subtasks(dc2, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}]"
4,50.644000000000005,COMPLETE,2025-05-21T20:30:34.857233,2025-05-21T20:43:45.651182,790.793949,1.9954264725738433,4.153769078982311,4.495599374033891,5,0,50.644000000000005,10.383039584406651,[]
8,52.076,COMPLETE,2025-05-21T20:30:35.126913,2025-05-21T20:44:14.484303,819.35739,3.633227435129384,2.171873874564557,0.19997235779035194,5,0,59.620000000000005,15.422929917986039,"[{""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}]"
2,65.84,COMPLETE,2025-05-21T20:30:34.812129,2025-05-21T20:48:31.699408,1076.887279,4.934689100322677,2.932534881506118,0.037355020463458656,5,0,65.84,33.233201232797,[]
7,64.50000000000001,COMPLETE,2025-05-21T20:30:34.922080,2025-05-21T20:51:23.963566,1249.041486,3.495932386369581,3.06471988538841,0.6868247807431411,5,0,45.93333333333334,46.61816584097687,"[{""name"": ""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
0,72.596,COMPLETE,2025-05-21T20:30:34.765185,2025-05-21T20:51:34.975581,1260.210396,2.376505467668676,1.9346829434917934,1.673341575154503,5,0,69.87,38.822198234009555,"[{""name"": ""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))"", ""status"": ""Failed (Planning/State Error)""}]"
3,70.13200000000002,COMPLETE,2025-05-21T20:30:34.834579,2025-05-21T20:52:08.064827,1293.230248,1.5087781276269048,4.996193513596752,0.8591713282739128,5,0,70.13200000000002,57.66906396656996,[]
1,72.928,COMPLETE,2025-05-21T20:30:34.768369,2025-05-21T20:52:20.550387,1305.782018,3.7160104345497156,1.1740110457878714,4.552020132954166,5,0,64.735,40.32972791678039,"[{""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
10,47.720000000000006,COMPLETE,2025-05-21T20:42:25.130719,2025-05-21T20:56:40.563624,855.432905,4.524853619517784,2.089282014690547,1.340019151331424,5,0,47.720000000000006,17.068064303020947,[]
11,55.327999999999996,COMPLETE,2025-05-21T20:42:59.172104,2025-05-21T20:59:07.061974,967.88987,3.1390916736778536,2.821167597672813,0.4437882914104123,5,0,47.185,27.831954329600556,"[{""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
13,52.98,COMPLETE,2025-05-21T20:44:14.722544,2025-05-21T21:00:40.500209,985.777665,3.460863509505708,3.2173748441845005,2.151730855312374,5,0,60.75,32.10875766162062,"[{""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}]"
14,47.248,COMPLETE,2025-05-21T20:48:32.046071,2025-05-21T21:01:26.847913,774.801842,2.705928824200036,3.165461975199155,0.41209015270726573,5,0,47.248,14.404624010797125,[]
6,98.828,COMPLETE,2025-05-21T20:30:34.902228,2025-05-21T21:02:17.826558,1902.92433,0.18833850310935088,3.3884885292325335,3.3204007429302482,5,0,107.73499999999999,80.4219518040074,"[{""name"": ""simple19_9subtasks(dc1, nd(1, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
12,63.827999999999996,COMPLETE,2025-05-21T20:43:45.896502,2025-05-21T21:05:34.146528,1308.250026,1.7277289584210405,0.11456036830375108,2.505874709176093,5,0,55.22,49.52541996759828,"[{""name"": ""simple1_4subtasks(dc1, nd1)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex7_14subtasks(dc1, dnc1, dnc3,  nd(1, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
20,100.10000000000001,PRUNED,2025-05-21T20:59:07.456553,2025-05-21T21:06:38.761207,451.304654,4.394241190703192,1.213250438401006,0.8772995351566807,,,,,[]
16,75.93333333333334,PRUNED,2025-05-21T20:51:35.172053,2025-05-21T21:07:54.784987,979.612934,4.441868950338536,1.3690901567121434,4.645520711194076,,,,,[]
19,47.66799999999999,COMPLETE,2025-05-21T20:56:40.779583,2025-05-21T21:10:17.923780,817.144197,1.4644456140584368,0.5465097217304072,0.18671011419919178,5,0,47.66799999999999,13.601337051589507,[]
18,56.108000000000004,COMPLETE,2025-05-21T20:52:20.768339,2025-05-21T21:11:44.213563,1163.445224,2.842443213789015,1.925787717290998,0.6889422369614011,5,0,66.77000000000001,54.77376813497394,"[{""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple1_4subtasks(dc1, nd1)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
24,119.64,PRUNED,2025-05-21T21:05:34.377543,2025-05-21T21:13:08.759840,454.382297,1.6747355761849851,1.8548402131701618,4.591374996170455,,,,,[]
28,64.78,PRUNED,2025-05-21T21:11:44.485361,2025-05-21T21:14:49.850617,185.365256,0.6595064193967599,0.9280739486637728,4.924321524969173,,,,,[]
27,87.84,PRUNED,2025-05-21T21:10:18.091588,2025-05-21T21:15:32.282369,314.190781,0.944412871688341,0.5912303598565112,4.723283702290219,,,,,[]
15,72.628,COMPLETE,2025-05-21T20:51:24.165814,2025-05-21T21:16:42.282329,1518.116515,1.0473027746377257,4.595962257039226,3.2373435230239647,5,0,84.94666666666666,80.17954847259679,"[{""name"": ""complex7_14subtasks(dc1, dnc1, dnc3,  nd(1, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple11_6subtasks(dc1, nd(1, 5))"", ""status"": ""Failed (Planning/State Error)""}]"
17,78.476,COMPLETE,2025-05-21T20:52:08.254433,2025-05-21T21:16:50.128737,1481.874304,2.6814159829669553,2.181477467272009,1.0899526764474092,5,0,78.476,63.48765015557874,[]
21,55.436,COMPLETE,2025-05-21T21:00:40.730527,2025-05-21T21:17:39.504077,1018.77355,4.223297206121601,4.612058056526614,4.359876034223416,5,0,44.769999999999996,36.65161613220116,"[{""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
23,56.66799999999999,COMPLETE,2025-05-21T21:02:18.053753,2025-05-21T21:19:01.531369,1003.477616,0.32536552948429154,1.0548037390274874,4.749797860919029,5,0,56.66799999999999,26.423479827435223,[]
26,44.384,COMPLETE,2025-05-21T21:07:54.981263,2025-05-21T21:19:47.187211,712.205948,1.077007316563739,1.3783916707482593,4.385407911954804,5,0,49.580000000000005,10.34104592076037,"[{""name"": ""simple1_4subtasks(dc1, nd1)"", ""status"": ""Failed (Planning/State Error)""}]"
32,56.94,PRUNED,2025-05-21T21:16:42.472408,2025-05-21T21:20:14.705382,212.232974,1.669616608789164,3.5023186002918782,0.3797722677405978,,,,,[]
34,56.94,PRUNED,2025-05-21T21:17:39.736463,2025-05-21T21:21:12.661527,212.925064,1.1051187242196858,3.6319097024184437,0.11277958705023258,,,,,[]
25,67.05600000000001,COMPLETE,2025-05-21T21:06:38.985368,2025-05-21T21:27:33.799730,1254.814362,1.9744075660015787,0.10604011980650058,4.8867230339669945,5,0,62.495000000000005,48.50002224982018,"[{""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
37,107.10000000000001,PRUNED,2025-05-21T21:20:14.918245,2025-05-21T21:30:10.873840,595.955595,2.151515719921277,0.5472581568826715,4.448352472250378,,,,,[]
31,49.528000000000006,COMPLETE,2025-05-21T21:15:32.444560,2025-05-21T21:30:48.719781,916.275221,0.8307839973015335,3.1950505106232576,0.2019299313821033,5,0,49.528000000000006,25.844451044150627,[]
39,59.74,PRUNED,2025-05-21T21:27:34.007624,2025-05-21T21:31:37.597522,243.589898,2.593607876507078,2.0954724360612516,2.9463639919876865,,,,,[]
40,50.739999999999995,PRUNED,2025-05-21T21:30:11.166429,2025-05-21T21:32:42.248920,151.082491,0.7712654213937498,1.8518681806980024,3.3817657261807277,,,,,[]
22,853.3974113839556,COMPLETE,2025-05-21T21:01:27.091866,2025-05-21T21:34:32.149739,1985.057873,3.468223706763149,2.262446256806414,2.3369407075942097,4,1,106.79333333333335,112.05011184777831,"[{""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
42,51.699999999999996,PRUNED,2025-05-21T21:31:37.785385,2025-05-21T21:34:56.472549,198.687164,0.6827481993187625,1.8440353169743955,3.6341331474471854,,,,,[]
35,58.815999999999995,COMPLETE,2025-05-21T21:19:01.768169,2025-05-21T21:37:14.502562,1092.734393,0.4733734775545304,3.726330298102855,0.6290213195405876,5,0,58.815999999999995,39.43587017337559,[]
44,51.699999999999996,PRUNED,2025-05-21T21:34:32.376933,2025-05-21T21:37:38.203709,185.826776,2.0438168699043406,4.2810099367669565,1.6818353355429205,,,,,[]
33,65.24000000000001,COMPLETE,2025-05-21T21:16:50.334073,2025-05-21T21:39:27.189392,1356.855319,1.1325708515056674,2.908741481911241,0.6039208880853617,5,0,62.300000000000004,57.305366485193375,"[{""name"": ""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))"", ""status"": ""Failed (Planning/State Error)""}]"
43,120.84,PRUNED,2025-05-21T21:32:42.460425,2025-05-21T21:40:31.641598,469.181173,1.4128458209615689,3.5976087702625055,1.6832751872707692,,,,,[]
30,70.98800000000001,COMPLETE,2025-05-21T21:14:50.046172,2025-05-21T21:41:23.575120,1593.528948,2.251599413843645,0.1700865553283259,4.498835369827635,5,0,50.646666666666675,83.30683773123891,"[{""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex9_17subtasks(dc2, dnc1, dnc2, dnc3, nd(1, 2, 3))"", ""status"": ""Failed (Planning/State Error)""}]"
36,64.784,COMPLETE,2025-05-21T21:19:47.421424,2025-05-21T21:41:24.240437,1296.819013,2.4547402478753,0.9428808553490291,3.5169396108130164,5,0,75.08000000000001,61.43382477619453,"[{""name"": ""simple1_4subtasks(dc1, nd1)"", ""status"": ""Failed (Planning/State Error)""}]"
