trial_number,value,state,datetime_start,datetime_complete,duration,param_alpha,param_beta,param_gamma,user_attr_num_completed,user_attr_num_failed,user_attr_avg_completed_makespan,user_attr_avg_computation_time,user_attr_failed_tasks_json
8,11020.0,COMPLETE,2025-04-29T22:48:27.558142,2025-04-29T23:04:27.237611,959.679469,4.065581786952514,2.3441998206462094,3.6017043325025564,0,5,60.150000000000006,40.06776198865846,"[{""name"": ""complex1_11subtasks(dc2, dnc2, nd(1, 3, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple20_9subtasks(dc2, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple15_6subtasks(nd1->dnc3, nd(2, 5))"", ""status"": ""Failed (Planning/State Error)""}]"
1,10280.0,COMPLETE,2025-04-29T22:48:27.362533,2025-04-29T23:05:12.690972,1005.328439,1.1063676276723888,0.22813363663904226,3.7822916355502687,0,5,75.66666666666667,39.856404257752004,"[{""name"": ""simple4_5subtasks(dc1, dnc2, nd8)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple12_6subtasks(dc2, dnc2)"", ""status"": ""Failed (No Progress)""}]"
4,11020.0,COMPLETE,2025-04-29T22:48:27.452515,2025-04-29T23:06:43.158470,1095.705955,2.6490925774147094,1.0931560930503825,3.4052063887160884,0,5,87.6,54.746844748500735,"[{""name"": ""simple18_8subtasks(dc2, dnc2, nd1)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple20_9subtasks(dc2, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}]"
11,11760.0,COMPLETE,2025-04-29T22:48:27.359688,2025-04-29T23:07:18.986708,1131.62702,3.990950964421046,3.2547718954818974,4.723714125132607,0,5,99.6,59.59160089069046,"[{""name"": ""complex7_14subtasks(dc1, dnc1, dnc3,  nd(1, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple12_6subtasks(dc2, dnc2)"", ""status"": ""Failed (No Progress)""}, {""name"": ""simple15_6subtasks(nd1->dnc3, nd(2, 5))"", ""status"": ""Failed (Planning/State Error)""}]"
9,11020.0,COMPLETE,2025-04-29T22:48:27.582648,2025-04-29T23:08:18.985016,1191.402368,0.9154541508639286,2.575461722103042,1.979276553977312,0,5,51.55,56.03591795801185,"[{""name"": ""simple5_5subtasks(dc1, nd(3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple20_9subtasks(dc2, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex7_14subtasks(dc1, dnc1, dnc3,  nd(1, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
7,11760.0,COMPLETE,2025-04-29T22:48:27.535732,2025-04-29T23:09:06.163516,1238.627784,0.6336568295694127,1.9426931197316772,4.598822867910288,0,5,45.3,51.90230294042267,"[{""name"": ""simple5_5subtasks(dc1, nd(3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple18_8subtasks(dc2, dnc2, nd1)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple9_6subtasks(dc1, dnc2, nd3)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
